OrderID,CustomerID,PrimaryProductID,DateID,ChannelID,OrderDate,ShipDate,DeliveryDate,Quantity,Revenue_USD,COGS_USD,GrossMargin_USD,GrossMarginPct,DiscountPct,ShippingCost_USD,FulfillmentDays,ShippedOnTime,OrderStatus
1,527,112,20230612,6,2023-06-12,2023-06-13,2023-06-16,1,34.53,10.84,23.69,68.61,0.0,7.68,3,True,Completed
2,779,17,20240109,1,2024-01-09,2024-01-09,2024-01-13,3,144.18,60.75,83.43,57.87,0.0,0.0,4,True,Completed
3,646,21,20220213,4,2022-02-13,2022-02-13,2022-02-15,1,37.9,15.99,21.91,57.81,0.0,9.66,2,True,Completed
4,121,120,20230826,4,2023-08-26,2023-08-27,2023-08-29,2,99.32,54.08,45.24,45.55,0.0,0.0,2,True,Completed
5,250,25,20241224,3,2024-12-24,2024-12-25,2024-12-30,3,146.16,53.88,92.28,63.14,0.0,0.0,5,True,Completed
6,425,35,20240629,2,2024-06-29,2024-06-30,2024-07-03,3,163.14,70.01,93.13,57.09,4.85,0.0,3,True,Completed
7,782,42,20230307,3,2023-03-07,2023-03-08,2023-03-11,2,26.7,15.72,10.98,41.12,20.0,8.14,3,True,Completed
8,763,49,20220310,3,2022-03-10,2022-03-10,2022-03-12,4,233.15,137.03,96.12,41.23,11.71,0.0,2,True,Completed
9,451,2,20241021,1,2024-10-21,2024-10-23,2024-10-27,5,326.58,153.9,172.68,52.88,0.87,0.0,4,True,Completed
10,337,49,20220509,6,2022-05-09,2022-05-09,2022-05-14,5,294.35,138.9,155.45,52.81,4.61,0.0,5,True,Completed
11,445,91,20240530,8,2024-05-30,2024-05-30,2024-06-01,2,129.91,48.31,81.6,62.81,0.0,0.0,2,True,Completed
12,384,53,20230112,2,2023-01-12,2023-01-13,2023-01-14,1,73.1,49.88,23.22,31.76,10.0,7.52,1,True,Completed
13,247,30,20240104,3,2024-01-04,2024-01-05,2024-01-08,3,178.04,100.71,77.33,43.43,10.39,0.0,3,True,Completed
14,162,76,20240311,1,2024-03-11,2024-03-13,2024-03-15,6,411.2,183.06,228.14,55.48,3.52,0.0,2,True,Completed
15,675,111,20230115,2,2023-01-15,2023-01-17,2023-01-18,2,102.58,48.24,54.34,52.97,10.0,0.0,1,True,Completed
16,294,103,20240528,5,2024-05-28,2024-05-30,2024-06-03,1,58.01,21.76,36.25,62.49,5.0,11.58,4,True,Completed
17,698,116,20240623,6,2024-06-23,2024-06-23,2024-06-27,2,90.24,46.51,43.73,48.46,1.5,0.0,4,True,Completed
18,335,17,20241126,5,2024-11-26,2024-11-27,2024-12-02,2,81.7,40.5,41.2,50.43,15.0,0.0,5,True,Completed
19,264,104,20240902,7,2024-09-02,2024-09-04,2024-09-10,9,299.33,157.1,142.23,47.52,10.99,0.0,6,False,Completed
20,405,59,20230422,1,2023-04-22,2023-04-22,2023-04-28,3,159.91,61.19,98.72,61.73,5.46,0.0,6,True,Completed
21,483,72,20240307,1,2024-03-07,2024-03-07,2024-03-09,4,312.08,156.62,155.46,49.81,4.73,0.0,2,True,Completed
22,312,31,20241211,8,2024-12-11,2024-12-13,2024-12-18,2,105.3,43.72,61.58,58.48,0.0,0.0,5,False,Completed
23,554,20,20240402,2,2024-04-02,2024-04-02,2024-04-08,2,128.78,48.9,79.88,62.03,0.0,0.0,6,True,Completed
24,223,110,20240326,2,2024-03-26,2024-03-26,2024-03-27,6,281.9,129.79,152.11,53.96,12.39,0.0,1,True,Completed
25,612,43,20240129,8,2024-01-29,2024-01-31,2024-02-01,1,28.2,12.85,15.35,54.43,0.0,11.07,1,True,Completed
26,222,100,20221119,5,2022-11-19,2022-11-19,2022-11-24,1,39.49,25.64,13.85,35.07,15.0,6.02,5,True,Completed
27,554,85,20241227,2,2024-12-27,2024-12-29,2025-01-01,2,108.92,56.54,52.38,48.09,0.0,0.0,3,True,Completed
28,179,54,20230223,2,2023-02-23,2023-02-25,2023-03-01,1,32.17,15.4,16.77,52.13,10.0,10.28,4,True,Completed
29,463,6,20231222,3,2023-12-22,2023-12-22,2023-12-26,5,279.73,124.31,155.42,55.56,4.46,0.0,4,True,Completed
30,330,36,20241118,4,2024-11-18,2024-11-20,2024-11-23,1,19.19,7.59,11.6,60.45,5.0,12.4,3,True,Completed
31,465,102,20231122,3,2023-11-22,2023-11-24,2023-11-28,2,150.56,74.42,76.14,50.57,15.0,0.0,4,True,Completed
32,221,53,20240501,2,2024-05-01,2024-05-02,2024-05-04,4,252.21,116.91,135.3,53.65,0.0,0.0,2,True,Completed
33,88,95,20220418,1,2022-04-18,2022-04-20,2022-04-26,1,55.15,22.09,33.06,59.95,0.0,6.53,6,False,Completed
34,126,97,20230303,2,2023-03-03,2023-03-04,2023-03-06,5,358.94,148.18,210.76,58.72,0.0,0.0,2,True,Completed
35,111,15,20221201,2,2022-12-01,2022-12-03,2022-12-09,2,85.68,40.46,45.22,52.78,2.72,0.0,6,False,Completed
